Timestamp,Rotational_Speed_RPM,Torque_Nm,Vibration_X_mm_s,Vibration_Y_mm_s,Vibration_Z_mm_s,Temperature_C,Pressure_bar,Flow_Rate_LPM
2025-07-19 00:00:00,1500,45,2.0,2.1,4.5,70,5.0,200
2025-07-19 13:01:00,1500,45,2.0,2.1,4.5,70,5.0,200
2025-07-19 14:02:00,1500,45,2.0,2.1,4.5,70,5.0,200
2025-07-20 06:03:00,1500,45,2.0,2.1,4.5,70,5.0,200
2025-07-20 15:03:00,1500,45,2.0,2.1,4.5,70,5.0,200
2025-07-21 10:00:00,1500,45,4.5,4.6,2.0,70,5.0,200
2025-07-21 11:00:00,1500,45,4.5,4.6,2.0,70,5.0,200
2025-07-22 13:01:00,1500,45,4.5,4.6,2.0,70,5.0,200
2025-07-22 13:01:00,1500,45,4.5,4.6,2.0,70,5.0,200
2025-07-23 00:00:00,1500,45,4.5,4.6,2.0,70,5.0,200
2025-07-23 13:01:00,1500,60,2.0,2.1,2.2,85,5.0,200
2025-07-24 14:02:00,1500,60,2.0,2.1,2.2,85,5.0,200
2025-08-02 06:03:00,1500,60,2.0,2.1,2.2,85,5.0,200
2025-08-02 15:03:00,1500,60,2.0,2.1,2.2,85,5.0,200
2025-09-05 10:00:00,1500,60,2.0,2.1,2.2,85,5.0,200
2025-09-21 11:00:00,1500,45,2.0,2.1,2.2,70,5.0,80
2025-10-02 13:01:00,1500,45,2.0,2.1,2.2,70,5.0,80
2025-10-12 13:01:00,1500,45,2.0,2.1,2.2,70,5.0,80
2025-11-09 00:00:00,1500,45,2.0,2.1,2.2,70,5.0,80
2025-11-13 00:00:00,1500,45,2.0,2.1,2.2,70,5.0,80
2025-11-17 00:00:00,1500,45,2.0,2.1,2.2,70,1.5,200
2025-11-21 00:00:00,1500,45,2.0,2.1,2.2,70,1.5,200
2025-11-25 00:00:00,1500,45,2.0,2.1,2.2,70,1.5,200
2025-11-29 00:00:00,1500,45,2.0,2.1,2.2,70,1.5,200
2025-12-03 00:00:00,1500,45,2.0,2.1,2.2,70,1.5,200
2025-12-07 00:00:00,1500,45,2.0,2.1,2.2,70,5.0,200
2025-12-11 00:00:00,1500,45,2.0,2.1,2.2,70,5.0,200
2025-12-15 00:00:00,1500,45,2.0,2.1,2.2,70,5.0,200
2025-12-19 00:00:00,1500,45,2.0,2.1,2.2,70,5.0,200
2025-12-23 00:00:00,1500,45,2.0,2.1,2.2,70,5.0,200
